protein	n
Q9MAU3	1
Q9MAX3	1
Q9MB58	4
Q9MBA1	5
Q9MBA2	1
Q9MBH2	2
Q9S709	2
Q9S713	3
Q9S714	3
Q9S726	2
Q9S746	4
Q9S752	1
Q9S756	1
Q9S757	5
Q9S762	1
Q9S775	1
Q9S791	2
Q9S795	4
Q9S799	3
Q9S7B5	1
Q9S7C0	5
Q9S7E4	5
Q9S7E6	6
Q9S7E9	4
Q9S7H1	4
Q9S7I0	4
Q9S7J7	2
Q9S7M0	4
Q9S7N7	5
Q9S7N9	1
Q9S7P8	1
Q9S7W1	1
Q9S7W4	1
Q9S7Y7	1
Q9S7Z3	2
Q9S7Z8	6
Q9S814	1
Q9S818	3
Q9S825	2
Q9S826	5
Q9S829	1
Q9S831	3
Q9S834	2
Q9S841	3
Q9S9M7	3
Q9S9N6	2
Q9S9N9	1
Q9S9P0	3
Q9S9P1	1
Q9S9P6	4
Q9S9Q9	3
Q9S9V0	3
Q9S9W2	5
Q9SA14	1
Q9SA18	1
Q9SA23	1
Q9SA34	7
Q9SA52	5
Q9SA55	3
Q9SA78	2
Q9SAA2	2
Q9SAB1	6
Q9SAC6	3
Q9SAD7	3
Q9SAE3	1
Q9SAF2	3
Q9SAF5	4
Q9SAF6	1
Q9SAG7	2
Q9SAH9	1
Q9SAI5	4
Q9SAJ3	1
Q9SAJ4	8
Q9SAL0	5
Q9SAR5	8
Q9SAU2	2
Q9SB31	1
Q9SB42	2
Q9SB48	1
Q9SB50	2
Q9SB63	2
Q9SB64	1
Q9SB81	4
Q9SB89	4
Q9SBA5	7
Q9SBJ1	2
Q9SCJ9	2
Q9SCK3	2
Q9SCK9	1
Q9SCL7	1
Q9SCM3	2
Q9SCP9	1
Q9SCQ2	3
Q9SCS3	1
Q9SCT4	2
Q9SCU1	1
Q9SCV4	1
Q9SCV8	2
Q9SCW1	6
Q9SCX3	7
Q9SCX9	1
Q9SCY3	1
Q9SCZ4	6
Q9SD44	1
Q9SD61	3
Q9SD73	4
Q9SD76	4
Q9SDA2	5
Q9SDM9	1
Q9SDS7	8
Q9SDY5	1
Q9SE33	8
Q9SE37	1
Q9SE50	2
Q9SE60	7
Q9SE83	3
Q9SE96	1
Q9SEE5	4
Q9SEE9	3
Q9SEH3	4
Q9SEI2	4
Q9SEI3	1
Q9SEI4	4
Q9SEL6	2
Q9SEU8	1
Q9SEX2	1
Q9SF16	4
Q9SF29	6
Q9SF32	1
Q9SF36	1
Q9SF85	1
Q9SFC6	2
Q9SFF6	2
Q9SFH9	3
Q9SFU1	3
Q9SFU6	4
Q9SFU7	5
Q9SFV2	6
Q9SFV3	3
Q9SFX2	3
Q9SFX3	4
Q9SG12	1
Q9SGA6	2
Q9SGC1	4
Q9SGE0	7
Q9SGE9	4
Q9SGH4	1
Q9SGH6	5
Q9SGI2	3
Q9SGJ0	1
Q9SGP2	2
Q9SGR6	2
Q9SGS4	3
Q9SGT7	3
Q9SGU9	1
Q9SGW3	4
Q9SGW5	3
Q9SGW6	2
Q9SGY2	1
Q9SH59	2
Q9SH87	2
Q9SH88	2
Q9SHB0	1
Q9SHC8	2
Q9SHE8	2
Q9SHF3	1
Q9SHG8	4
Q9SHH6	1
Q9SHI0	3
Q9SHI1	1
Q9SHJ6	6
Q9SHJ8	1
Q9SHL7	2
Q9SHS2	2
Q9SHZ5	2
Q9SI20	7
Q9SI54	1
Q9SI58	1
Q9SI85	4
Q9SIB2	1
Q9SIB6	2
Q9SIB9	3
Q9SID0	2
Q9SIE1	1
Q9SIE7	1
Q9SIF2	2
Q9SIF5	1
Q9SIH1	3
Q9SII9	3
Q9SIK2	2
Q9SIL6	1
Q9SIM4	2
Q9SIP0	2
Q9SIP1	5
Q9SIR5	3
Q9SIS3	1
Q9SIT1	3
Q9SIU0	3
Q9SIU2	3
Q9SIU8	4
Q9SIV2	4
Q9SIV5	1
Q9SIX1	1
Q9SIY3	1
Q9SIZ2	2
Q9SJ12	5
Q9SJ40	4
Q9SJ62	4
Q9SJ66	3
Q9SJ81	3
Q9SJA6	3
Q9SJB3	1
Q9SJB9	1
Q9SJD4	2
Q9SJE1	1
Q9SJF0	1
Q9SJF1	2
Q9SJH7	2
Q9SJI7	6
Q9SJL2	1
Q9SJL8	5
Q9SJM0	4
Q9SJM7	3
Q9SJQ0	3
Q9SJQ9	1
Q9SJR4	2
Q9SJT1	5
Q9SJT4	4
Q9SJT7	7
Q9SJV2	8
Q9SJW3	4
Q9SK09	1
Q9SK39	1
Q9SK46	1
Q9SK50	2
Q9SK63	1
Q9SK69	2
Q9SK74	3
Q9SK82	4
Q9SK84	1
Q9SK86	5
Q9SK87	5
Q9SKA3	1
Q9SKA5	3
Q9SKB8	1
Q9SKC1	4
Q9SKC5	4
Q9SKI0	3
Q9SKI2	2
Q9SKK4	2
Q9SKN1	3
Q9SKP0	4
Q9SKP6	3
Q9SKR2	6
Q9SKS7	1
Q9SKT0	6
Q9SKX2	1
Q9SKY8	1
Q9SKZ1	3
Q9SL02	1
Q9SL03	2
Q9SL05	1
Q9SL15	1
Q9SL48	1
Q9SL67	4
Q9SL76	4
Q9SL79	2
Q9SL80	2
Q9SL91	4
Q9SL96	3
Q9SLA0	1
Q9SLA8	2
Q9SLC7	1
Q9SLE0	1
Q9SLJ2	1
Q9SLK0	2
Q9SLK2	3
Q9SLM4	1
Q9SLN1	1
Q9SLN5	2
Q9SLV3	3
Q9SM02	1
Q9SM23	1
Q9SMM5	2
Q9SMM7	8
Q9SMM8	3
Q9SMN0	9
Q9SMQ6	2
Q9SMR5	1
Q9SMR7	2
Q9SMT7	8
Q9SMU7	2
Q9SMV6	3
Q9SMW7	3
Q9SMY7	1
Q9SMZ4	3
Q9SN19	1
Q9SN26	3
Q9SN58	5
Q9SN73	6
Q9SN77	2
Q9SN95	1
Q9SNB5	1
Q9SNE0	1
Q9SNY3	7
Q9SP02	3
Q9SP08	3
Q9SPE5	2
Q9SPE6	5
Q9SPK5	7
Q9SQH9	2
Q9SQI8	2
Q9SQR2	1
Q9SQR4	2
Q9SQT5	1
Q9SQT8	1
Q9SQU4	1
Q9SQU6	2
Q9SQZ1	3
Q9SQZ9	4
Q9SR00	1
Q9SR06	1
Q9SR13	1
Q9SR15	1
Q9SR19	1
Q9SR33	2
Q9SR37	3
Q9SR52	2
Q9SR59	1
Q9SR62	1
Q9SR67	1
Q9SR73	4
Q9SR77	3
Q9SR91	1
Q9SR93	2
Q9SR96	2
Q9SRD4	2
Q9SRG3	2
Q9SRH5	4
Q9SRH6	7
Q9SRM4	3
Q9SRQ6	2
Q9SRR8	1
Q9SRS5	2
Q9SRT8	2
Q9SRU2	5
Q9SRU7	2
Q9SRV5	3
Q9SRY4	2
Q9SRY5	3
Q9SRZ3	3
Q9SRZ4	1
Q9SRZ6	8
Q9SS17	1
Q9SS37	1
Q9SS44	1
Q9SS89	1
Q9SS98	1
Q9SSA4	1
Q9SSA5	2
Q9SSB5	4
Q9SSD2	4
Q9SSF8	1
Q9SSJ8	2
Q9SSK1	2
Q9SSK5	5
Q9SSK7	7
Q9SSK9	7
Q9SSL9	4
Q9SSM4	4
Q9SSN3	1
Q9SSQ9	1
Q9SSS9	3
Q9STE8	2
Q9STF2	3
Q9STG9	3
Q9STH2	3
Q9STI0	1
Q9STL5	1
Q9STL8	3
Q9STN3	3
Q9STS1	2
Q9STT2	1
Q9STT3	3
Q9STT5	3
Q9STT8	1
Q9STU3	1
Q9STV4	5
Q9STW5	3
Q9STW6	1
Q9STX2	4
Q9STX5	1
Q9SU13	1
Q9SU25	2
Q9SU40	5
Q9SU58	1
Q9SU63	1
Q9SU78	2
Q9SU83	3
Q9SU93	3
Q9SUA1	2
Q9SUB2	2
Q9SUC0	2
Q9SUE9	4
Q9SUI4	2
Q9SUI5	4
Q9SUJ1	1
Q9SUM2	1
Q9SUN5	1
Q9SUP5	3
Q9SUQ8	2
Q9SUQ9	1
Q9SUR0	6
Q9SUR3	5
Q9SUR6	1
Q9SUR9	1
Q9SUT5	4
Q9SUU5	1
Q9SUW2	1
Q9SV00	7
Q9SV20	1
Q9SV21	1
Q9SV28	6
Q9SV68	1
Q9SV71	1
Q9SVA6	4
Q9SVC2	2
Q9SVD1	4
Q9SVD7	3
Q9SVI9	2
Q9SVM8	5
Q9SVM9	1
Q9SVN5	5
Q9SVP6	4
Q9SVQ9	3
Q9SVT5	4
Q9SVW8	5
Q9SVY0	5
Q9SW18	3
Q9SW21	3
Q9SW43	3
Q9SW96	5
Q9SWG3	1
Q9SX22	1
Q9SX33	1
Q9SX52	2
Q9SX68	3
Q9SX77	2
Q9SX79	1
Q9SX85	5
Q9SXA1	2
Q9SXE9	2
Q9SXJ6	3
Q9SXP7	2
Q9SXS2	2
Q9SXS7	2
Q9SY09	3
Q9SY56	1
Q9SY59	1
Q9SY73	1
Q9SY88	5
Q9SYA9	2
Q9SYB4	2
Q9SYD8	5
Q9SYG2	5
Q9SYG4	2
Q9SYG5	3
Q9SYG7	8
Q9SYI0	1
Q9SYL7	2
Q9SYL9	3
Q9SYM1	3
Q9SYM4	3
Q9SYM5	1
Q9SYP1	3
Q9SYP2	2
Q9SYQ8	1
Q9SYS3	3
Q9SYT0	2
Q9SYW8	3
Q9SYX1	1
Q9SZ30	3
Q9SZ83	8
Q9SZ91	3
Q9SZB2	1
Q9SZB3	3
Q9SZB7	1
Q9SZC9	1
Q9SZD4	1
Q9SZD6	2
Q9SZE1	2
Q9SZI2	5
Q9SZI4	4
Q9SZJ5	2
Q9SZN1	9
Q9SZN7	3
Q9SZP6	5
Q9SZP8	1
Q9SZQ5	2
Q9SZR1	6
Q9SZU1	1
Q9SZU7	1
Q9SZV3	4
Q9SZW3	3
Q9SZX3	2
Q9SZY1	7
Q9T003	1
Q9T024	6
Q9T029	1
Q9T034	3
Q9T041	1
Q9T042	2
Q9T053	1
Q9T074	6
Q9T080	2
Q9T0A0	6
Q9T0A4	4
Q9T0A7	3
Q9T0D0	3
Q9T0H1	3
Q9T0H9	2
Q9T0I5	2
Q9T0I8	2
Q9T0I9	3
Q9T0J6	2
Q9XEA1	3
Q9XEC4	1
Q9XEE2	6
Q9XES1	3
Q9XEX2	8
Q9XF19	4
Q9XF43	3
Q9XF57	1
Q9XF67	6
Q9XF88	3
Q9XF89	1
Q9XF91	3
Q9XFD1	3
Q9XFH8	3
Q9XFM6	9
Q9XFS7	3
Q9XFS9	1
Q9XFT3	4
Q9XGM1	9
Q9XGM2	3
Q9XGR4	1
Q9XGX9	2
Q9XGY4	5
Q9XH48	1
Q9XHZ8	7
Q9XI01	4
Q9XI05	3
Q9XI07	2
Q9XI19	3
Q9XI32	1
Q9XI36	4
Q9XI42	4
Q9XI55	1
Q9XI87	1
Q9XI93	5
Q9XI98	1
Q9XIA6	3
Q9XIA9	3
Q9XIE2	5
Q9XIF2	1
Q9XIJ0	1
Q9XIK0	1
Q9XIK4	2
Q9XIP8	6
Q9XIQ1	1
Q9XIW1	3
Q9XJ27	5
Q9XJ35	2
Q9XQC7	3
Q9ZNS2	1
Q9ZNT0	1
Q9ZNT1	5
Q9ZNT7	1
Q9ZNU3	5
Q9ZNV4	2
Q9ZNW0	4
Q9ZNZ7	3
Q9ZP06	1
Q9ZPF5	3
Q9ZPH2	4
Q9ZPI1	4
Q9ZPI5	3
Q9ZPI6	1
Q9ZPS3	2
Q9ZPS4	2
Q9ZPV5	1
Q9ZPW9	1
Q9ZPY7	5
Q9ZQ18	1
Q9ZQ24	2
Q9ZQ26	1
Q9ZQ47	2
Q9ZQ78	2
Q9ZQ80	3
Q9ZQ87	2
Q9ZQ94	1
Q9ZQC5	3
Q9ZQG4	1
Q9ZQP2	2
Q9ZQQ0	2
Q9ZQR4	2
Q9ZQX4	6
Q9ZR03	2
Q9ZR12	3
Q9ZR72	2
Q9ZRD6	3
Q9ZRE2	1
Q9ZRW8	5
Q9ZRZ8	7
Q9ZS97	4
Q9ZSA2	10
Q9ZSA4	2
Q9ZSD4	4
Q9ZSI6	2
Q9ZSJ6	2
Q9ZSK1	1
Q9ZSK3	2
Q9ZSK4	1
Q9ZSP5	1
Q9ZSR7	2
Q9ZSS6	1
Q9ZSY2	4
Q9ZSZ8	3
Q9ZT71	1
Q9ZT82	5
Q9ZT87	1
Q9ZT91	2
Q9ZT96	1
Q9ZTW3	2
Q9ZTZ7	2
Q9ZU25	3
Q9ZU38	1
Q9ZU48	2
Q9ZU66	2
Q9ZU72	4
Q9ZU92	1
Q9ZUA0	1
Q9ZUA3	3
Q9ZUB3	8
Q9ZUB7	2
Q9ZUC1	2
Q9ZUG4	4
Q9ZUI4	5
Q9ZUI6	2
Q9ZUL3	4
Q9ZUL7	3
Q9ZUM0	4
Q9ZUM1	1
Q9ZUN4	1
Q9ZUN8	1
Q9ZUP3	4
Q9ZUT9	2
Q9ZUU3	3
Q9ZUU4	3
Q9ZUX0	2
Q9ZUX4	1
Q9ZUY6	7
Q9ZUZ2	2
Q9ZV07	3
Q9ZV45	5
Q9ZV48	1
Q9ZV56	9
Q9ZV69	1
Q9ZVA1	4
Q9ZVA2	4
Q9ZVA4	1
Q9ZVA7	5
Q9ZVD0	1
Q9ZVD1	3
Q9ZVD5	5
Q9ZVF2	4
Q9ZVF3	2
Q9ZVF6	8
Q9ZVH4	3
Q9ZVH7	3
Q9ZVH8	3
Q9ZVJ3	1
Q9ZVJ4	2
Q9ZVJ5	3
Q9ZVJ6	1
Q9ZVL0	2
Q9ZVL6	5
Q9ZVM9	3
Q9ZVN2	1
Q9ZVQ3	2
Q9ZVS4	1
Q9ZVS5	2
Q9ZVT6	2
Q9ZVT7	3
Q9ZVU5	3
Q9ZVW2	5
Q9ZVX0	4
Q9ZVX1	2
Q9ZVX7	5
Q9ZVY7	5
Q9ZW30	3
Q9ZW34	6
Q9ZW35	5
Q9ZW82	1
Q9ZW84	2
Q9ZW85	3
Q9ZWB3	1
Q9ZWC4	3
Q9ZWJ3	5
Q9ZWT1	1
Q9ZWT2	3
TubbyC	1
X5JA13	1
